Cpu,mae,mse,rmse,File,population,generation,crossover,pc
2.337739,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,289,14,0.64,0.8
7.095913,0.7389775202000426,0.7087441300841317,0.8418694257924633,strogatz_glider1.csv,403,33,0.32,1.0
7.634817,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,371,38,0.57,0.27
8.073170000000001,0.7487572559798729,0.7356504855599155,0.8577006969566455,strogatz_glider1.csv,485,30,0.7,0.03
1.403269,0.7302564323919172,0.6848206779859922,0.8275389283810111,strogatz_glider1.csv,60,41,0.96,0.25
6.9862020000000005,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,297,46,0.49,0.42
0.9854350000000001,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,138,13,0.17,0.31
5.090692,0.7316906011364133,0.6886479378840811,0.8298481414596776,strogatz_glider1.csv,283,35,0.69,0.72
0.919678,0.7302564323919172,0.6848206779859922,0.8275389283810111,strogatz_glider1.csv,55,32,0.63,0.09
5.687684,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,278,39,0.69,0.05
5.247508,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,239,45,0.15,0.24
4.3625,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,185,44,0.72,0.05
7.018491000000001,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,403,33,0.72,0.36
5.892663,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,457,23,0.93,0.05
1.509113,0.6932566493081649,0.6216119494930498,0.7884237119043603,strogatz_glider1.csv,109,29,0.28,0.42
6.1334180000000025,0.7462206078942261,0.7287194371178006,0.8536506528538479,strogatz_glider1.csv,246,48,0.83,0.59
2.711843,0.7068057701781886,0.6309205479833189,0.7943050723640879,strogatz_glider1.csv,129,47,0.07,0.58
1.918463,0.7283177056192708,0.6794381023383099,0.8242803542110596,strogatz_glider1.csv,253,15,0.73,0.66
3.3384270000000003,0.7389775202000426,0.7087441300841317,0.8418694257924633,strogatz_glider1.csv,431,16,0.7,0.54
2.7955970000000003,0.7316906011364133,0.6886479378840811,0.8298481414596776,strogatz_glider1.csv,389,16,0.41,0.6
