Cpu,mae,mse,rmse,File,population,generation,crossover,pc
7.027697,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,125,26,0.6,0.46
9.316659,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,111,39,0.66,0.85
10.627595,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,121,38,0.54,0.31
3.775373000000001,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,137,10,0.71,0.31
12.423575,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,330,13,0.99,0.24
25.584134,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,294,35,0.09,0.76
17.942459,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,206,36,0.89,0.99
18.273953,2.0489195296958624,19.008197222545817,4.359839128058032,feynman_II_11_20.csv,223,31,0.29,0.06
25.01827,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,477,22,0.18,0.84
14.42945,3.634157897786592,48.25910234189735,6.946877164733615,feynman_II_11_20.csv,282,16,0.08,0.51
17.041545000000006,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,195,33,0.57,0.62
14.325019,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,464,12,0.77,0.59
38.53818,3.628720849213547,48.06712043605803,6.933045538293978,feynman_II_11_20.csv,424,39,0.05,0.6
37.469284,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,463,36,0.44,0.85
25.607523999999998,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,253,41,0.48,0.9
48.81451000000001,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,463,47,0.66,0.31
47.883475,1.4436091616797668,6.96485092305757,2.639100400336745,feynman_II_11_20.csv,448,39,0.32,0.11
38.454081,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,319,45,0.37,0.94
23.276903,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,386,34,0.62,0.4
27.133547999999998,3.2420183096036834,44.875084250748294,6.69888679190418,feynman_II_11_20.csv,334,45,0.88,0.27
8.264878999999999,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,125,26,0.6,0.46
10.749172999999999,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,111,39,0.66,0.85
14.764595000000002,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,121,38,0.54,0.31
3.882211,3.8222669853224738,20.68341317173945,4.547902062681149,feynman_III_15_12.csv,137,10,0.71,0.31
11.318282,3.8222669853224738,20.68341317173945,4.547902062681149,feynman_III_15_12.csv,330,13,0.99,0.24
23.916367,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,294,35,0.09,0.76
19.77242,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,206,36,0.89,0.99
18.479998,3.8222669853224738,20.68341317173945,4.547902062681149,feynman_III_15_12.csv,223,31,0.29,0.06
27.131503,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,477,22,0.18,0.84
11.708055,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,282,16,0.08,0.51
16.685626000000006,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,195,33,0.57,0.62
39.290518,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,424,39,0.05,0.6
17.071217,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,464,12,0.77,0.59
43.258957,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,463,36,0.44,0.85
25.846292,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,253,41,0.48,0.9
38.846532,3.8222669853224738,20.68341317173945,4.547902062681149,feynman_III_15_12.csv,448,39,0.32,0.11
48.778776,3.8222669853224738,20.68341317173945,4.547902062681149,feynman_III_15_12.csv,463,47,0.66,0.31
29.642649,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,319,45,0.37,0.94
25.25064,4.430910017391572,32.33505661351095,5.686392231767956,feynman_III_15_12.csv,386,34,0.62,0.4
27.91446,3.8222669853224738,20.68341317173945,4.547902062681149,feynman_III_15_12.csv,334,45,0.88,0.27
9.781639,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,125,26,0.6,0.46
10.639678,2.4989195735758667,8.906070480328788,2.984304019420405,feynman_III_4_33.csv,111,39,0.66,0.85
13.890735000000001,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,121,38,0.54,0.31
5.2033749999999985,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,137,10,0.71,0.31
12.785744,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,330,13,0.99,0.24
25.785085000000002,3.036820249401538,14.274300096622536,3.778134473072992,feynman_III_4_33.csv,294,35,0.09,0.76
19.363671,2.4989195735758667,8.906070480328788,2.984304019420405,feynman_III_4_33.csv,206,36,0.89,0.99
20.179849,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,223,31,0.29,0.06
26.828684999999997,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,477,22,0.18,0.84
13.652716,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,282,16,0.08,0.51
16.631300999999997,2.4989195735758667,8.906070480328788,2.984304019420405,feynman_III_4_33.csv,195,33,0.57,0.62
15.114979,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,464,12,0.77,0.59
40.170789,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,424,39,0.05,0.6
41.030061,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,463,36,0.44,0.85
25.494731,2.4989195735758667,8.906070480328788,2.984304019420405,feynman_III_4_33.csv,253,41,0.48,0.9
41.124268,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,448,39,0.32,0.11
31.461337,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,319,45,0.37,0.94
57.65613100000001,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,463,47,0.66,0.31
26.213478,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,386,34,0.62,0.4
28.306818,0.6753446293972577,0.5915327721515976,0.7691116772950451,feynman_III_4_33.csv,334,45,0.88,0.27
9.421146,84.94477872197825,25855.24088437924,160.79564945725133,feynman_II_34_29b.csv,125,26,0.6,0.46
11.803517999999999,84.70213992546837,25835.42396740218,160.73401621126183,feynman_II_34_29b.csv,111,39,0.66,0.85
18.581943,76.6783346947958,21073.067925749136,145.16565683986394,feynman_II_34_29b.csv,121,38,0.54,0.31
5.518105,84.82802984593678,22107.12526889346,148.68465041453828,feynman_II_34_29b.csv,137,10,0.71,0.31
19.204829,29.02184959224744,4363.691877067746,66.05824609439571,feynman_II_34_29b.csv,330,13,0.99,0.24
40.129805,100.07284757466779,31072.166812933618,176.2729894593429,feynman_II_34_29b.csv,294,35,0.09,0.76
22.691522,75.10714638790205,20203.548768623383,142.1391880116929,feynman_II_34_29b.csv,206,36,0.89,0.99
29.687732,95.98392754380414,28450.265250702487,168.67206422731206,feynman_II_34_29b.csv,223,31,0.29,0.06
46.847959,86.60160223385435,23968.60816906869,154.81798399755982,feynman_II_34_29b.csv,477,22,0.18,0.84
36.873126000000006,99.64129557696172,29817.227885065367,172.67665703581756,feynman_II_34_29b.csv,282,16,0.08,0.51
29.324638,11.052509625845142,369.09003705006967,19.21171614015962,feynman_II_34_29b.csv,195,33,0.57,0.62
17.545934,75.10714638790205,20203.548768623383,142.1391880116929,feynman_II_34_29b.csv,464,12,0.77,0.59
48.767624,75.10714638790206,20203.548768623383,142.1391880116929,feynman_II_34_29b.csv,463,36,0.44,0.85
83.369479,102.55022346143757,31075.15342271273,176.28146080264008,feynman_II_34_29b.csv,424,39,0.05,0.6
35.943441,79.6211349094872,20893.2614267374,144.54501522618273,feynman_II_34_29b.csv,253,41,0.48,0.9
38.595624,75.10714638790206,20203.548768623383,142.1391880116929,feynman_II_34_29b.csv,319,45,0.37,0.94
58.308328,75.10714638790205,20203.548768623383,142.1391880116929,feynman_II_34_29b.csv,463,47,0.66,0.31
95.908804,14.697732335844591,747.0887517377879,27.33292431734643,feynman_II_34_29b.csv,448,39,0.32,0.11
49.511841,36.59673719690725,4163.720448513481,64.52689709348715,feynman_II_34_29b.csv,386,34,0.62,0.4
44.296307,13.814813709632919,587.0508435553687,24.22913212550893,feynman_II_34_29b.csv,334,45,0.88,0.27
10.375787,0.15786039961730838,0.025384307062370288,0.15932453377421285,feynman_II_13_17.csv,125,26,0.6,0.46
14.015845,0.15786039961730838,0.025384307062370288,0.15932453377421285,feynman_II_13_17.csv,111,39,0.66,0.85
14.170065999999998,0.15786039961730838,0.025384307062370288,0.15932453377421285,feynman_II_13_17.csv,121,38,0.54,0.31
3.123183,0.009656506303369906,0.0004971650736764431,0.022297198785417936,feynman_II_13_17.csv,330,13,0.99,0.24
5.4074589999999985,0.13407061143301705,0.01858574315582501,0.13632953882348836,feynman_II_13_17.csv,137,10,0.71,0.31
28.99412,0.15786039961730838,0.025384307062370288,0.15932453377421285,feynman_II_13_17.csv,294,35,0.09,0.76
19.753176999999997,0.15786039961730838,0.025384307062370288,0.15932453377421285,feynman_II_13_17.csv,223,31,0.29,0.06
20.925371,0.15786039961730838,0.025384307062370288,0.15932453377421285,feynman_II_13_17.csv,206,36,0.89,0.99
14.407347,0.15786039961730838,0.025384307062370288,0.15932453377421285,feynman_II_13_17.csv,282,16,0.08,0.51
30.97829500000001,0.016956088542847057,0.0006398049368882577,0.02529436571429016,feynman_II_13_17.csv,477,22,0.18,0.84
17.300964999999998,0.016956088542847057,0.0006398049368882577,0.02529436571429016,feynman_II_13_17.csv,464,12,0.77,0.59
41.78188,0.015343624993903432,0.0008462411337555155,0.029090224023811083,feynman_II_13_17.csv,424,39,0.05,0.6
18.682132,0.15786039961730838,0.025384307062370288,0.15932453377421285,feynman_II_13_17.csv,195,33,0.57,0.62
