Cpu,mae,mse,rmse,File,num,depth,jobs,verbose
0.062217999999999885,0.23774001540612333,0.3163781531177702,0.5624750244391036,strogatz_vdp1.csv,31,6,4,1
0.06303100000000006,0.18788289535797392,0.2834613154152619,0.5324108520825453,strogatz_vdp1.csv,25,12,14,14
0.10442899999999988,0.1723946263118015,0.24114244840770666,0.4910625707664011,strogatz_vdp1.csv,61,17,6,15
0.11458899999999983,0.31794410240993676,0.418519590944176,0.6469309012129317,strogatz_vdp1.csv,63,5,19,3
0.05951099999999998,0.1979173043617044,0.2966330799268826,0.5446403216131566,strogatz_vdp1.csv,12,11,11,11
0.07829599999999992,0.201257431105168,0.2710764112735935,0.5206499892188546,strogatz_vdp1.csv,27,8,8,6
0.1563349999999999,0.17104356423962172,0.241587268305233,0.4915152777943255,strogatz_vdp1.csv,71,18,4,15
0.18140699999999987,0.17069516397354703,0.23549228384104218,0.4852754721197458,strogatz_vdp1.csv,91,14,4,13
0.029243999999999937,0.34573482825425544,0.6293467951944333,0.7933138062547715,strogatz_vdp1.csv,2,6,3,19
0.03955800000000009,0.21357960755689653,0.47977303931895826,0.6926565088981393,strogatz_vdp1.csv,5,12,6,19
0.10764099999999988,0.18249290625332093,0.25118713727830216,0.50118573131954,strogatz_vdp1.csv,41,15,12,4
0.19355300000000009,0.17333259979186966,0.2386751476544677,0.48854390555452404,strogatz_vdp1.csv,99,13,4,2
0.06690799999999997,0.20626840528325083,0.33190704328104864,0.5761137416179627,strogatz_vdp1.csv,19,14,19,20
0.05468200000000001,0.20314010153863818,0.3396072523008661,0.5827583137981526,strogatz_vdp1.csv,11,15,12,13
0.07828200000000007,0.18616117142589553,0.24590269353250374,0.4958857666161671,strogatz_vdp1.csv,32,13,8,9
0.14240600000000003,0.3132437813484388,0.41228031227121426,0.6420905794910982,strogatz_vdp1.csv,70,5,10,19
0.059268999999999905,0.2144211620160303,0.32573382260592254,0.5707309546589553,strogatz_vdp1.csv,14,7,16,6
0.09137200000000001,0.20274327623063912,0.2717149378986315,0.5212628299606941,strogatz_vdp1.csv,47,7,3,13
0.1285320000000001,0.47216050446593355,0.887094161271518,0.9418567626085815,strogatz_vdp1.csv,82,2,6,11
0.180655,0.1704141260478081,0.23866757699055458,0.48853615730113015,strogatz_vdp1.csv,73,18,19,15
0.13629800000000003,0.17170201106196245,0.2386960694801847,0.4885653175166906,strogatz_vdp1.csv,75,19,9,1
0.15193499999999993,0.1714669634663937,0.2347752744473054,0.4845361435923077,strogatz_vdp1.csv,79,14,15,0
0.06888699999999992,0.16086956521739132,0.10076521739130433,0.31743537514162523,analcatdata_cyyoung9302.csv,25,12,14,14
0.0806920000000001,0.17040673211781207,0.10299506854273174,0.32092844769937695,analcatdata_cyyoung9302.csv,31,6,4,1
0.12190099999999993,0.16678545972915182,0.09605879672364835,0.30993353597771306,analcatdata_cyyoung9302.csv,61,17,6,15
0.140038,0.1673567977915804,0.09541884386604886,0.30889940735787896,analcatdata_cyyoung9302.csv,63,5,19,3
0.049874000000000085,0.17572463768115942,0.11096014492753624,0.33310680708676044,analcatdata_cyyoung9302.csv,12,11,11,11
0.07805000000000006,0.16264090177133655,0.10055466094113441,0.3171035492408346,analcatdata_cyyoung9302.csv,27,8,8,6
0.12994499999999998,0.1671769748928353,0.09451195846234789,0.30742797280395273,analcatdata_cyyoung9302.csv,71,18,4,15
0.15286900000000003,0.168179646440516,0.09540960711529274,0.30888445593019526,analcatdata_cyyoung9302.csv,91,14,4,13
0.033711000000000046,0.18478260869565216,0.14673913043478262,0.3830654388414369,analcatdata_cyyoung9302.csv,2,6,3,19
0.037362000000000006,0.1782608695652174,0.12782608695652176,0.35752774291867445,analcatdata_cyyoung9302.csv,5,12,6,19
0.10892999999999997,0.17020148462354187,0.10316064454387916,0.321186308151327,analcatdata_cyyoung9302.csv,41,15,12,4
0.171307,0.16820377689942906,0.09581985866570845,0.30954782936681763,analcatdata_cyyoung9302.csv,99,13,4,2
0.050377000000000116,0.17391304347826086,0.11031261228889688,0.33213342543155283,analcatdata_cyyoung9302.csv,11,15,12,13
0.057728,0.15789473684210525,0.10502228110321571,0.32407141358536345,analcatdata_cyyoung9302.csv,19,14,19,20
0.0772790000000001,0.16983695652173914,0.10249660326086957,0.3201509070124112,analcatdata_cyyoung9302.csv,32,13,8,9
0.15241400000000005,0.16670807453416148,0.09383141082519962,0.3063191323198726,analcatdata_cyyoung9302.csv,70,5,10,19
0.052983,0.16614906832298135,0.1065882874889086,0.32647861720012933,analcatdata_cyyoung9302.csv,14,7,16,6
0.09242500000000009,0.16651248843663274,0.09969098746235754,0.31573879625785223,analcatdata_cyyoung9302.csv,47,7,3,13
0.12741099999999994,0.1690227784491729,0.09196882585887199,0.3032636243582009,analcatdata_cyyoung9302.csv,82,2,6,11
0.14590099999999995,0.16676593210244192,0.0947400197443031,0.3077986675479657,analcatdata_cyyoung9302.csv,73,18,19,15
0.11160499999999995,0.1672463768115942,0.09506859903381644,0.308331962394132,analcatdata_cyyoung9302.csv,75,19,9,1
0.11900500000000003,0.16951018161805173,0.09601304138829479,0.3098597124317629,analcatdata_cyyoung9302.csv,79,14,15,0
0.07746999999999993,0.02049653907574395,0.003345206742831266,0.057837762256429545,strogatz_barmag2.csv,25,12,14,14
0.07912600000000003,0.023680333213424075,0.002753719071436027,0.05247589038249877,strogatz_barmag2.csv,31,6,4,1
0.12893899999999991,0.02764791363717059,0.0031072729963456057,0.055742918800019844,strogatz_barmag2.csv,63,5,19,3
