Cpu,mae,mse,rmse,File,c,epison,cs,iterations
0.04370000000000007,0.5,0.25,0.5,Hill_Valley_with_noise.csv,78.57,58.48,317.98,997
0.043459000000000136,0.5,0.25,0.5,Hill_Valley_with_noise.csv,53.57,11.08,633.58,798
0.0587359999999999,0.5,0.25,0.5,Hill_Valley_with_noise.csv,96.65,51.04,701.24,21
0.05392700000000006,0.5,0.25,0.5,Hill_Valley_with_noise.csv,71.59,70.31,563.27,259
0.042483999999999966,0.5,0.25,0.5,Hill_Valley_with_noise.csv,55.33,88.91,484.16,417
0.047651999999999806,0.5,0.25,0.5,Hill_Valley_with_noise.csv,52.29,63.15,685.64,713
0.05326699999999995,0.5,0.25,0.5,Hill_Valley_with_noise.csv,3.3,75.81,957.76,240
0.04560699999999995,0.5,0.25,0.5,Hill_Valley_with_noise.csv,51.19,72.71,682.37,38
0.0418940000000001,0.5,0.25,0.5,Hill_Valley_with_noise.csv,20.37,8.97,163.19,303
0.04578799999999994,0.5,0.25,0.5,Hill_Valley_with_noise.csv,42.59,85.5,145.53,230
0.05223499999999981,0.5,0.25,0.5,Hill_Valley_with_noise.csv,78.65,57.55,712.6,358
0.04259400000000002,0.5,0.25,0.5,Hill_Valley_with_noise.csv,90.48,32.16,925.35,39
0.042478000000000016,0.5,0.25,0.5,Hill_Valley_with_noise.csv,44.18,92.84,825.03,591
0.040677000000000074,0.5,0.25,0.5,Hill_Valley_with_noise.csv,2.1,54.33,629.9,85
0.04209600000000013,0.5,0.25,0.5,Hill_Valley_with_noise.csv,14.08,48.31,274.47,415
0.05798099999999984,0.5,0.25,0.5,Hill_Valley_with_noise.csv,18.47,92.11,64.06,574
0.03771300000000011,0.5,0.25,0.5,Hill_Valley_with_noise.csv,30.78,83.0,718.37,37
0.0498829999999999,0.5,0.25,0.5,Hill_Valley_with_noise.csv,84.78,16.04,701.18,541
0.04172700000000007,0.5,0.25,0.5,Hill_Valley_with_noise.csv,45.72,13.77,726.45,655
0.047051000000000176,0.5,0.25,0.5,Hill_Valley_with_noise.csv,75.61,16.73,405.75,600
0.03660899999999989,0.5,0.25,0.5,Hill_Valley_with_noise.csv,24.36,19.55,22.8,707
0.034873000000000154,0.5,0.25,0.5,Hill_Valley_with_noise.csv,59.99,62.27,89.27,995
0.03630100000000014,0.5,0.25,0.5,Hill_Valley_with_noise.csv,78.57,58.48,317.98,997
0.04089699999999996,0.5,0.25,0.5,Hill_Valley_with_noise.csv,96.65,51.04,701.24,21
0.04407899999999998,0.5,0.25,0.5,Hill_Valley_with_noise.csv,53.57,11.08,633.58,798
0.061707999999999874,0.5,0.25,0.5,Hill_Valley_with_noise.csv,71.59,70.31,563.27,259
0.045121999999999884,0.5,0.25,0.5,Hill_Valley_with_noise.csv,52.29,63.15,685.64,713
0.04654200000000008,0.5,0.25,0.5,Hill_Valley_with_noise.csv,3.3,75.81,957.76,240
0.05634499999999987,0.5,0.25,0.5,Hill_Valley_with_noise.csv,55.33,88.91,484.16,417
0.05506699999999998,0.5,0.25,0.5,Hill_Valley_with_noise.csv,51.19,72.71,682.37,38
