Cpu,mae,mse,rmse,File,c,epison,cs,iterations
0.023221000000000047,5.051406779764661,25.736898696076942,5.073154708470552,keijzer-8.training.csv,1368.34,72.65,0.65,847
0.017562000000000078,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,1664.85,40.58,0.6,452
0.025544000000000008,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,5428.57,62.99,0.08,754
0.03129399999999993,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,1595.6,70.12,0.54,301
0.027636999999999908,3.971500351125625,16.840964843022142,4.10377446298187,keijzer-8.training.csv,1946.72,2.28,0.71,301
0.01977300000000004,5.051406779764658,25.736898696076924,5.0731547084705495,keijzer-8.training.csv,6223.7,8.93,0.99,236
0.020730999999999836,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,8298.79,71.84,0.04,596
0.02252999999999994,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,3474.11,64.14,0.89,995
0.02056300000000011,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,9472.99,31.1,0.17,839
0.027093000000000037,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,3842.55,53.56,0.28,48
0.024918,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,8841.7,72.23,0.31,96
0.03191500000000014,5.051406779764658,25.736898696076924,5.0731547084705495,keijzer-8.training.csv,5164.51,15.12,0.07,509
0.018278000000000016,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,3224.35,56.18,0.57,621
0.021285,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,9175.64,63.55,0.44,849
0.020483999999999947,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,7456.83,60.07,0.61,390
0.025299000000000186,5.051406779764658,25.736898696076924,5.0731547084705495,keijzer-8.training.csv,9185.67,6.93,0.77,585
0.02493999999999996,5.051406779764661,25.736898696076942,5.073154708470552,keijzer-8.training.csv,9167.44,91.27,0.66,299
0.023878000000000062,5.051406779764661,25.736898696076942,5.073154708470552,keijzer-8.training.csv,5979.24,86.21,0.36,936
0.022982000000000058,5.051406779764661,25.736898696076942,5.073154708470552,keijzer-8.training.csv,6312.25,87.2,0.88,262
0.016024000000000038,5.051406779764661,25.736898696076942,5.073154708470552,keijzer-8.training.csv,4510.56,76.45,0.47,895
0.0275930000000002,5.051406779764661,25.736898696076942,5.073154708470552,keijzer-8.training.csv,9801.99,91.74,0.98,435
0.03140900000000002,5.051406779764657,25.736898696076906,5.0731547084705495,keijzer-8.training.csv,101.13,54.1,0.15,965
0.025726000000000138,0.3860671164908893,0.17270185942786198,0.4155741322891284,vladislavleva-4.training.csv,5428.57,62.99,0.08,754
0.01795299999999989,0.3860671164908926,0.17270185942786456,0.4155741322891315,vladislavleva-4.training.csv,1595.6,70.12,0.54,301
0.028745000000000017,0.3860671164908893,0.17270185942786198,0.4155741322891284,vladislavleva-4.training.csv,1664.85,40.58,0.6,452
0.027363000000000026,0.3860671164908926,0.17270185942786456,0.4155741322891315,vladislavleva-4.training.csv,1368.34,72.65,0.65,847
0.022974999999999968,0.3860671164908926,0.17270185942786456,0.4155741322891315,vladislavleva-4.training.csv,8298.79,71.84,0.04,596
0.02790500000000007,0.38606711649089015,0.17270185942786265,0.4155741322891292,vladislavleva-4.training.csv,6223.7,8.93,0.99,236
0.028429999999999955,0.3860671164908926,0.17270185942786456,0.4155741322891315,vladislavleva-4.training.csv,3474.11,64.14,0.89,995
0.028696999999999976,0.38606711649089015,0.17270185942786265,0.4155741322891292,vladislavleva-4.training.csv,1946.72,2.28,0.71,301
0.019639000000000184,0.3860671164908893,0.17270185942786198,0.4155741322891284,vladislavleva-4.training.csv,3842.55,53.56,0.28,48
