Cpu,mae,mse,rmse,File,num,depth,jobs,verbose
0.5340339999999999,0.1861823361823362,0.1030292570677186,0.3209817083070601,analcatdata_cyyoung9302.csv,260,13,14,14
0.5103960000000001,0.18678915135608049,0.1026280015522994,0.3203560543400099,analcatdata_cyyoung9302.csv,254,15,14,0
0.2361660000000001,0.19086442634452785,0.1100077764316798,0.3316742022402101,analcatdata_cyyoung9302.csv,98,2,4,6
0.42076499999999983,0.19115323854660346,0.1047320989595422,0.3236233906248777,analcatdata_cyyoung9302.csv,211,18,3,4
0.7243139999999999,0.18612760343040244,0.1039971722656622,0.3224859256861641,analcatdata_cyyoung9302.csv,393,12,15,7
0.8750680000000001,0.18657817109144545,0.10395084811885266,0.32241409416905564,analcatdata_cyyoung9302.csv,452,7,19,0
0.049002999999999915,0.21604938271604934,0.14094650205761314,0.3754284246798758,analcatdata_cyyoung9302.csv,6,11,13,1
0.1733619999999998,0.1990049751243781,0.10527792216364283,0.32446559473023145,analcatdata_cyyoung9302.csv,67,10,6,8
0.5211330000000001,0.18992051412142733,0.1043000215452833,0.3229551385955692,analcatdata_cyyoung9302.csv,219,19,17,12
0.188526,0.20058260507698705,0.10679534477034792,0.32679557030404793,analcatdata_cyyoung9302.csv,89,19,2,12
0.284608,0.1896001962227128,0.10226809415441493,0.3197938307009923,analcatdata_cyyoung9302.csv,151,17,15,0
0.4549190000000001,0.1811318824870948,0.10364579284463983,0.3219406666524747,analcatdata_cyyoung9302.csv,226,3,15,13
0.789096,0.17872141201208416,0.1031533019266129,0.3211748774836116,analcatdata_cyyoung9302.csv,424,4,15,11
0.611251,0.17800035391080618,0.1021927809871994,0.3196760563245227,analcatdata_cyyoung9302.csv,377,4,9,12
0.10188700000000006,0.17394286675551807,0.10025156818034617,0.3166252803873155,analcatdata_cyyoung9302.csv,118,4,1,14
0.360004,0.189659458115834,0.10471416869777304,0.3235956870815386,analcatdata_cyyoung9302.csv,298,13,2,20
0.447344,0.9591642396836428,0.9244887718269696,0.9615033914797022,prnn_crabs.csv,266,3,13,16
0.608903,0.9784780578898226,0.9586450266381062,0.979104196006792,prnn_crabs.csv,357,15,12,5
0.6686700000000001,0.9780187074829932,0.9577084851797862,0.9786258146910832,prnn_crabs.csv,392,12,7,20
0.936521,0.9790289256198348,0.9597382777815722,0.9796623284487224,prnn_crabs.csv,484,11,15,0
0.08520900000000009,0.9916666666666668,0.9875,0.9937303457175896,prnn_crabs.csv,12,16,20,5
