Cpu,mae,mse,rmse,File,num,depth,jobs,verbose
0.14807899999999985,0.9038786889015099,1.0371849256748689,1.0184227637257863,keijzer-8.training.csv,69,15,14,17
0.1669940000000001,0.9027085583044372,1.0350709826606317,1.0173843829451243,keijzer-8.training.csv,80,15,11,6
0.18672699999999987,0.9024940507956878,1.0346837531461652,1.017194058745019,keijzer-8.training.csv,84,9,12,9
0.514702,0.9057244406089896,1.0405250037410232,1.0200612745031659,keijzer-8.training.csv,272,13,2,15
0.20273600000000008,2.312724939558393,5.56888488747993,2.3598484882466355,keijzer-8.training.csv,98,1,15,6
0.4196169999999999,0.9033840064194056,1.0362909044789326,1.0179837447027005,keijzer-8.training.csv,174,13,18,20
0.656523,1.5879458752303803,2.7417603440857343,1.6558261817249218,keijzer-8.training.csv,312,2,20,4
0.3809480000000001,0.9039294643703228,1.0372767179813742,1.0184678286432882,keijzer-8.training.csv,415,15,1,12
0.4973510000000001,1.0281660198153315,1.2773136057274566,1.1301829965662449,keijzer-8.training.csv,259,4,2,10
0.428874,0.9039577475183542,1.0373278507230126,1.0184929311109687,keijzer-8.training.csv,193,11,6,1
0.9427690000000002,0.9025137482565998,1.0347193072167329,1.0172115351374724,keijzer-8.training.csv,474,7,4,17
0.9442889999999999,0.903294856356918,1.0361298389454208,1.0179046315571123,keijzer-8.training.csv,443,15,7,2
0.3574069999999998,0.9026597364908712,1.034982841306325,1.0173410643959695,keijzer-8.training.csv,162,12,12,13
0.877783,1.5951355850546118,2.764645776132076,1.6627223989987252,keijzer-8.training.csv,460,2,16,12
1.027622,0.902853207719866,1.0353321561146072,1.0175127301978129,keijzer-8.training.csv,459,13,9,17
0.8860809999999999,0.9050617865365596,1.0393250788733048,1.0194729417072848,keijzer-8.training.csv,373,13,13,8
0.4983140000000002,0.9067153319524544,1.0423209346222049,1.0209412003745393,keijzer-8.training.csv,226,16,10,18
0.5654050000000002,0.9049484785481559,1.0391199902511783,1.01937235113141,keijzer-8.training.csv,299,18,8,19
0.973371,0.902853207719866,1.0353321561146072,1.0175127301978129,keijzer-8.training.csv,459,19,14,6
0.7105870000000001,0.905824566815702,1.0407063872714102,1.0201501787832077,keijzer-8.training.csv,316,18,18,5
0.04324799999999995,0.9081636169194144,1.044949396520709,1.0222276637426269,keijzer-8.training.csv,6,11,3,20
1.097882,0.902178412831874,1.0341141300043948,1.016914022916586,keijzer-8.training.csv,491,19,20,9
0.3148770000000001,0.05957092278374624,0.00620201678536358,0.0787528842986946,vladislavleva-4.training.csv,69,15,14,17
0.3317270000000001,0.06615474555334361,0.008774201073196505,0.09367070552310634,vladislavleva-4.training.csv,84,9,12,9
0.350797,0.05983727028546025,0.006266952906638335,0.07916408849117341,vladislavleva-4.training.csv,80,15,11,6
1.084172,0.05988982158790294,0.006497092188757338,0.08060454198590386,vladislavleva-4.training.csv,272,13,2,15
0.23207199999999986,0.13947684071462002,0.038134028246380194,0.1952793594991037,vladislavleva-4.training.csv,98,1,15,6
0.7955770000000001,0.05880643913987014,0.006203727362178843,0.07876374395734907,vladislavleva-4.training.csv,174,13,18,20
0.8134560000000001,0.12910872556382266,0.03287202789662088,0.18130644747669866,vladislavleva-4.training.csv,312,2,20,4
1.0741839999999998,0.05905565142600015,0.006253735089344167,0.07908056075511963,vladislavleva-4.training.csv,415,15,1,12
0.615151,0.06129632736397831,0.007053805740683519,0.0839869379170566,vladislavleva-4.training.csv,193,11,6,1
0.7228939999999999,0.10962536432362092,0.023819332812810918,0.15433513149251182,vladislavleva-4.training.csv,259,4,2,10
1.5882690000000002,0.07991506463163138,0.013078030014617579,0.11435921482162065,vladislavleva-4.training.csv,474,7,4,17
1.88837,0.05898219221361165,0.006229895183102534,0.07892968505640026,vladislavleva-4.training.csv,443,15,7,2
0.7166410000000001,0.060270111329973085,0.006552792777103509,0.08094932227698702,vladislavleva-4.training.csv,162,12,12,13
1.051876,0.12901588436148045,0.032874186184228056,0.18131239942217972,vladislavleva-4.training.csv,460,2,16,12
1.829695,0.059551749979807875,0.006431067709660397,0.08019393811043574,vladislavleva-4.training.csv,459,13,9,17
0.895804,0.058967715858588815,0.00608539696632729,0.07800895439837205,vladislavleva-4.training.csv,226,16,10,18
1.470919,0.0596734663709724,0.006453156743957365,0.08033154264644346,vladislavleva-4.training.csv,373,13,13,8
1.8402720000000001,0.058930804273701634,0.006195816398090249,0.07871350835841487,vladislavleva-4.training.csv,459,19,14,6
1.227889,0.05902638573416855,0.006177901880663707,0.07859963028325075,vladislavleva-4.training.csv,299,18,8,19
1.354254,0.05900174422322906,0.00617648425296996,0.07859061173556266,vladislavleva-4.training.csv,316,18,18,5
2.0503240000000003,0.058904172833370176,0.006174815618136228,0.07857999502504584,vladislavleva-4.training.csv,491,19,20,9
0.05698300000000001,0.07180921829302139,0.009211427700688548,0.09597618298665844,vladislavleva-4.training.csv,6,11,3,20
0.15791999999999984,0.4684834487383542,0.31688052588170224,0.5629214206989305,keijzer-3.training.csv,84,9,12,9
0.15334499999999984,0.4693692571526322,0.3182423192815864,0.5641297007617897,keijzer-3.training.csv,80,15,11,6
0.1565129999999999,0.4719420010186081,0.3222425609336613,0.5676641268687509,keijzer-3.training.csv,69,15,14,17
0.5241770000000001,0.4659164628475439,0.3129790525205298,0.5594453078903512,keijzer-3.training.csv,272,13,2,15
0.21577600000000002,0.3899096021677077,0.2127591065147009,0.4612581777212204,keijzer-3.training.csv,98,1,15,6
0.4002779999999999,0.4672285331042757,0.314964887275444,0.5612173262430911,keijzer-3.training.csv,174,13,18,20
0.6671419999999999,0.3810688433493648,0.20670278800971592,0.4546457830110337,keijzer-3.training.csv,312,2,20,4
0.35466,0.4659926841980528,0.3130939376107384,0.5595479761474778,keijzer-3.training.csv,415,15,1,12
0.4922819999999999,0.4108303688905941,0.2303978284347511,0.4799977379475357,keijzer-3.training.csv,259,4,2,10
0.3667069999999999,0.4657247244267124,0.31269031373150363,0.5591871902426804,keijzer-3.training.csv,193,11,6,1
0.8691230000000001,0.4652581176528623,0.3119892059723584,0.5585599394625059,keijzer-3.training.csv,474,7,4,17
0.851742,0.4653738529062693,0.3121629003208811,0.5587154019005393,keijzer-3.training.csv,443,15,7,2
0.3323020000000001,0.4657549273556834,0.3127357716075087,0.5592278351508522,keijzer-3.training.csv,162,12,12,13
0.8225990000000001,0.3812800712944728,0.20641547332015225,0.4543296967183108,keijzer-3.training.csv,460,2,16,12
0.891813,0.4658492957760484,0.31287786330380435,0.5593548634845364,keijzer-3.training.csv,459,13,9,17
0.8210390000000001,0.4655096901472099,0.3123669365381736,0.5588979661245634,keijzer-3.training.csv,373,13,13,8
0.4534809999999998,0.4642982655655927,0.3105538957958495,0.5572736274002651,keijzer-3.training.csv,226,16,10,18
0.8537600000000001,0.4658492957760484,0.31287786330380435,0.5593548634845364,keijzer-3.training.csv,459,19,14,6
