Cpu,mae,mse,rmse,File,num,depth,jobs,verbose
18.711384,0.8672810579842889,2.63008105307625,1.6217524635641067,feynman_II_11_20.csv,84,9,12,9
22.01255,0.3824067941471674,0.7805946882068743,0.883512698384621,feynman_II_11_20.csv,69,15,14,17
25.690165,0.3799369692863264,0.7735820376136325,0.87953512585549,feynman_II_11_20.csv,80,15,11,6
3.525507,3.5949390598531035,38.171850635640546,6.178337206371999,feynman_II_11_20.csv,98,1,15,6
19.723606,3.144030768356811,30.695176469755825,5.540322776676088,feynman_II_11_20.csv,312,2,20,4
49.62527400000001,0.4270019838083968,0.8491377433491814,0.9214867027522324,feynman_II_11_20.csv,174,13,18,20
49.841442,0.5733503213771685,1.2731924544067414,1.1283583005440876,feynman_II_11_20.csv,193,11,6,1
30.344538,2.318156643166434,17.35608860681076,4.166063922554569,feynman_II_11_20.csv,259,4,2,10
28.736622999999998,3.1393827201721076,30.634282174001193,5.534824493513882,feynman_II_11_20.csv,460,2,16,12
86.96193299999999,1.2969766896350174,5.674650060138697,2.3821524006953663,feynman_II_11_20.csv,474,7,4,17
132.642494,0.42213883368420013,0.8272341041228147,0.909524108599005,feynman_II_11_20.csv,459,13,9,17
44.11932,0.4860653846706792,0.9964887639694812,0.9982428381759026,feynman_II_11_20.csv,162,12,12,13
75.29916800000001,0.36060196943255934,0.7262289371100611,0.8521906694572883,feynman_II_11_20.csv,226,16,10,18
78.225449,0.4242526496421293,0.8381166627555591,0.9154871177441872,feynman_II_11_20.csv,272,13,2,15
163.38358300000002,0.3497382554843657,0.702198694998843,0.8379729679404002,feynman_II_11_20.csv,459,19,14,6
105.24013899999999,0.3520568685305689,0.7132642308682116,0.8445497207791922,feynman_II_11_20.csv,299,18,8,19
179.44295400000001,0.3494602077793192,0.7001468690880879,0.8367477929986358,feynman_II_11_20.csv,491,19,20,9
107.29607,0.3666156086945223,0.7283504581565219,0.8534345072450035,feynman_II_11_20.csv,415,15,1,12
145.69571100000002,0.3667583674399014,0.7263486185271717,0.8522608864233837,feynman_II_11_20.csv,443,15,7,2
110.91003300000001,0.4228434194632949,0.8337506581882226,0.9130994788018568,feynman_II_11_20.csv,373,13,13,8
115.375879,0.35202482471339946,0.7106462283986317,0.8429983561067196,feynman_II_11_20.csv,316,18,18,5
1.425928,0.685014752685574,1.7910762754938665,1.338310978619643,feynman_II_11_20.csv,6,11,3,20
11.729805,2.1146155918513125,7.977507272287378,2.8244481358820135,feynman_III_15_12.csv,84,9,12,9
14.337545,0.5636331465781845,0.7212306324207242,0.8492529849348333,feynman_III_15_12.csv,69,15,14,17
16.339426,0.5629723599613141,0.7205413492518961,0.8488470705915737,feynman_III_15_12.csv,80,15,11,6
2.372984,3.9180623713104152,21.965287215637947,4.6867139037536685,feynman_III_15_12.csv,98,1,15,6
12.437971,3.8325720043962206,20.89053564990429,4.570616550303066,feynman_III_15_12.csv,312,2,20,4
31.57812,0.9086666020137936,1.9023420017817343,1.3792541469148225,feynman_III_15_12.csv,174,13,18,20
31.362257000000003,1.4377002467571345,4.2983229572353885,2.0732397249800587,feynman_III_15_12.csv,193,11,6,1
18.684208,3.63503244078808,18.90162135613688,4.347599493529375,feynman_III_15_12.csv,259,4,2,10
53.164876,2.860097874435516,12.886639625402275,3.5897965994471432,feynman_III_15_12.csv,474,7,4,17
18.428160000000002,3.8325633073514696,20.890057720449377,4.570564267182924,feynman_III_15_12.csv,460,2,16,12
83.467271,0.9084944886577428,1.9028780021177711,1.379448441268383,feynman_III_15_12.csv,459,13,9,17
28.567193000000003,1.1485986900755234,2.907876475458663,1.7052496812662543,feynman_III_15_12.csv,162,12,12,13
48.696998,0.4547018134009462,0.4632943530134537,0.6806572948359944,feynman_III_15_12.csv,226,16,10,18
49.013446,0.906588005167754,1.8928342253180277,1.3758031201149483,feynman_III_15_12.csv,272,13,2,15
108.10106,0.28762775218387104,0.16945186307422885,0.41164531222185546,feynman_III_15_12.csv,459,19,14,6
69.919978,0.3226378781857207,0.21789582038730215,0.4667931237575187,feynman_III_15_12.csv,299,18,8,19
118.750178,0.2871948198761468,0.16877661800018026,0.41082431524945096,feynman_III_15_12.csv,491,19,20,9
67.32452199999999,0.5619899490767207,0.7234900560949742,0.8505821865610484,feynman_III_15_12.csv,415,15,1,12
92.543706,0.5626460276699327,0.7255815345091444,0.8518107386674251,feynman_III_15_12.csv,443,15,7,2
68.50831,0.9087424699844296,1.9024289486728585,1.3792856660869273,feynman_III_15_12.csv,373,13,13,8
74.325056,0.32260190082995344,0.21853222024206595,0.4674742990176743,feynman_III_15_12.csv,316,18,18,5
0.9016270000000001,1.5183404934250522,4.8215874999081185,2.1958113534427586,feynman_III_15_12.csv,6,11,3,20
15.078255,0.2445960995960003,0.09676818225379713,0.3110758464648085,feynman_III_4_33.csv,84,9,12,9
17.936146,0.07823004053666892,0.01041931729729451,0.10207505717507342,feynman_III_4_33.csv,69,15,14,17
